Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
12,"S Kovacova, E Sturdik","Interactions between microorganisms and heavy metals including radionuclides",2002,"BIOLOGIA","","","",43,"2016-05-17","Journal article"
11,"J. Hudak, R. Boca, L. Dlhan, J. Kozisek, J. Moncol","Structure and magnetism of mono-, di-, and trinuclear benzoato cobalt(II) complexes",2011,"POLYHEDRON","","","",44,"2016-05-17","Journal article"
11,"Martin Pipiska, Miroslav Hornik, Lucia Remenarova, Jozef Augustin, Juraj Lesny","Biosorption of Cadmium, Cobalt and Zinc by Moss Rhytidiadelphus squarrosus in the Single and Binary Component Systems",2010,"ACTA CHIMICA SLOVENICA","","","",45,"2016-05-17","Journal article"
11,"Peter Segl'a, Jozef Miklovic, Dusan Miklos, Jan Titis, Radovan Herchel, Jan Moncol, Barbora Kalinakova, Daniela Hudecova, Viera Mrazova, Tadeusz Lis, Milan Melnik","Crystal structure, spectroscopic and magnetic properties, and antimicrobial activities of cobalt(II) 2-methylthionicotinate complexes with N-heterocyclic ligands",2008,"TRANSITION METAL CHEMISTRY","","","",46,"2016-05-17","Journal article"
7,"Viera Horvathova, Andrej Godany, Emest Sturdik, Stefan Janecek","alpha-amylase from Thermococcus hydrothermalis: Re-cloning aimed at the improved expression and hydrolysis of corn starch",2006,"ENZYME AND MICROBIAL TECHNOLOGY","","","",47,"2016-05-17","Journal article"
9,"J. Hudak, R. Boca, J. Moncol, J. Titis","Magnetism of dinuclear benzoato cobalt(II) complexes modeled by a general bilinear exchange",2013,"INORGANICA CHIMICA ACTA","","","",48,"2016-05-17","Journal article"
9,"Tatiana Durcekova, Katarina Boronova, Jan Mocak, Jozef Lehotay, Jozef Cizmarik","QSRR models for potential local anaesthetic drugs using high performance liquid chromatography",2012,"JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS","","","",49,"2016-05-17","Journal article"
10,"I. Janiga, J. Mocak, I. Garaj","Comparison of Minimum Detectable Concentration with the IUPAC Detection Limit",2008,"MEASUREMENT SCIENCE REVIEW","","","",50,"2016-05-17","Journal article"
9,"Z Puterova, H Sterk, A Krutosikova","Reaction of substituted furan-2-carboxaldehydes and furo[b]pyrrole type aldehydes with hippuric acid",2004,"MOLECULES","","","",51,"2016-05-17","Journal article"
9,"Jozef Uhrovcik","Strategy for determination of LOD and LOQ values - Some basic aspects",2014,"TALANTA","","","",52,"2016-05-17","Journal article"
9,"Robert Uhrecky, Zdenka Padelkova, Jan Moncol, Marian Koman, L'ubor Dlhan, Jan Titis, Roman Boca","Synthesis, crystal structure, spectra and magnetic properties of new manganese(III) and iron(III) dipicolinate complexes",2013,"POLYHEDRON","","","",53,"2016-05-17","Journal article"
9,"Martin Vavra, Ivan Potocnak, Erik Cizmar, Marcela Kajnakova, Michal Dusek, Harry Schmidt, Mykhaylo Ozerov, Sergei A. Zvyagin, L'ubor Dlhan, Roman Boca","Low-dimensional compounds containing cyanido groups. XXI. Crystal structure, spectroscopic, thermal and magnetic properties of two polymorphous, modifications of [Cu(men)(2)Pt(CN)4](n) complex ((men) = N-methyl-1,2-diaminoethane)",2011,"POLYHEDRON","","","",54,"2016-05-17","Journal article"
9,"Valentyna V. Semenaka, Oksana V. Nesterova, Volodymyr N. Kokozay, Roman I. Zybatyuk, Oleg V. Shishkin, Roman Boca, Carlos J. Gomez-Garcia, Juan M. Clemente-Juan, Julia Jezierska","Structural and magnetic studies of tetranuclear heterometallic M/Cr (M = Co, Mn) complexes self-assembled from zerovalent cobalt or manganese, Reineckes salt and diethanolamine",2010,"POLYHEDRON","","","",56,"2016-05-17","Journal article"
9,"Valentyna V. Semenaka, Oksana V. Nesterova, Volodymyr N. Kokozay, Roman I. Zybatyuk, Oleg V. Shishkin, Roman Boca, Denys V. Shevchenko, Ping Huang, Stenbjorn Styring","Direct synthesis of an heterometallic {(Mn3Cr4III)-Cr-II} wheel by decomposition of Reineckes salt",2010,"DALTON TRANSACTIONS","","","",57,"2016-05-17","Journal article"
8,"C. Rajnak, J. Titis, I. Salitros, R. Boca, O. Fuhr, M. Ruben","Zero-field splitting in pentacoordinate Co(II) complexes",2013,"POLYHEDRON","","","",58,"2016-05-17","Journal article"
8,"Oksana V. Nesterova, Eduard N. Chygorin, Vladimir N. Kokozay, Volodymyr V. Bon, Irina V. Omelchenko, Oleg V. Shishkin, Jan Titis, Roman Boca, Armando J. L. Pombeiro, Andrew Ozarowski","Magnetic, high-field EPR studies and catalytic activity of Schiff base tetranuclear (Cu2Fe2III)-Fe-II complexes obtained by direct synthesis",2013,"DALTON TRANSACTIONS","","","",59,"2016-05-17","Journal article"
7,"L. Tisakova, M. Pipiska, A. Godany, M. Hornik, B. Vidova, J. Augustin","Bioaccumulation of Cs-137 and Co-60 by bacteria isolated from spent nuclear fuel pools",2013,"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","","","",60,"2016-05-17","Journal article"
7,"Stefan Janecek, Andrea Kuchtova","In silico identification of catalytic residues and domain fold of the family GH119 sharing the catalytic machinery with the alpha-amylase family GH57",2012,"FEBS LETTERS","","","",61,"2016-05-17","Journal article"
8,"M. Sebova, V. Jorik, J. Moncol, J. Kozisek, R. Boca","Structure and magnetism of Co(II) complexes with bidentate heterocyclic ligand Hsalbim derived from benzimidazole",2011,"POLYHEDRON","","","",62,"2016-05-17","Journal article"
8,"A Jedinak, J Farago, I Psenakova, T Maliar","Approaches to flavonoid production in plant tissue cultures",2004,"BIOLOGIA","","","",63,"2016-05-17","Journal article"
7,"Vladimir Fristak, Martin Pipiska, Juraj Lesny, Gerhard Soja, Wolfgang Friesl-Hanl, Alena Packova","Utilization of biochar sorbents for Cd2+, Zn2+, and Cu2+ ions separation from aqueous solutions: comparative study",2015,"ENVIRONMENTAL MONITORING AND ASSESSMENT","","","",64,"2016-05-17","Journal article"
7,"Susanta Hazra, Anirban Karmakar, M. Fatima C. Guedes da Silva, Lubor DIhan, Roman Boca, Armando J. L. Pombeiro","Dinuclear based polymeric copper(II) complexes derived from a Schiff base ligand: effect of secondary bridging moieties on geometrical orientations and magnetic properties",2014,"INORGANIC CHEMISTRY COMMUNICATIONS","","","",65,"2016-05-17","Journal article"
7,"Velayudhan Ranjani, Stefan Janecek, Kian Piaw Chai, Shafinaz Shahir, Raja Noor Zaliha Raja Abdul Rahman, Kok-Gan Chan, Kian Mau Goh","Protein engineering of selected residues from conserved sequence regions of a novel Anoxybacillus alpha-amylase",2014,"SCIENTIFIC REPORTS","","","",66,"2016-05-17","Journal article"
7,"Vladimir Fristak, Martin Pipiska, Michaela Valovciakova, Juraj Lesny, Marian Rozloznik","Monitoring Co-60 activity for the characterization of the sorption process of Co2+ ions in municipal activated sludge",2014,"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","","","",67,"2016-05-17","Journal article"
6,"Dasa Kruzlicova, Zeljka Fiket, Goran Kniewald","Classification of Croatian wine varieties using multivariate analysis of data obtained by high resolution ICP-MS analysis",2013,"FOOD RESEARCH INTERNATIONAL","","","",68,"2016-05-17","Journal article"
7,"Alena Packova, Jozef Miklovic, Jan Titis, Marian Koman, Roman Boca","Positive zero-field splitting in a hexacoordinate nickel(II) complex",2013,"INORGANIC CHEMISTRY COMMUNICATIONS","","","",69,"2016-05-17","Journal article"
7,"Christoph Krueger, Peter Augustin, Ivan Nemec, Zdenek Travnicek, Hiroki Oshio, Roman Boca, Franz Renz","Spin Crossover in Iron(III) Complexes with Pentadentate Schiff Base Ligands and Pseudohalido Coligands",2013,"EUROPEAN JOURNAL OF INORGANIC CHEMISTRY","","","",70,"2016-05-17","Journal article"
7,"E. Chmielewska, J. Lesny","Selective ion exchange onto Slovakian natural zeolites in aqueous solutions",2012,"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","","","",71,"2016-05-17","Journal article"
7,"M. Sebova, R. Boca, L. Dlhan, I. Nemec, B. Papankova, J. Pavlik, H. Fuess","Direct determination of zero-field splitting in Co(II) complexes by FAR infrared spectroscopy",2012,"INORGANICA CHIMICA ACTA","","","",72,"2016-05-17","Journal article"
7,"Cyril Rajnak, Jan Titis, Roman Boca, Jan Moncol', Zdenka Padelkova","Self-assembled cobalt(II) Schiff base complex: synthesis, structure, and magnetic properties",2011,"MONATSHEFTE FUR CHEMIE","","","",73,"2016-05-17","Journal article"
7,"Lucia Kovacikova, Renata Gasparova, Andrej Bohac, Marian Durana, Margita Lacova","Synthesis of 3-phenyl-2H,5H-pyrano[3,2-c]chromen-2-one derivatives and their antineoplastic activity",2010,"ARKIVOC","","","",74,"2016-05-17","Journal article"
6,"Radovan Herchel, Roman Boca, Milan Gembicky, Karsten Falk, Hartmut Fuess, Wolfgang Haase, Ingrid Svoboda","Magnetic properties of a manganese(II) trinuclear complex involving a tridentate Schiff-base ligand",2007,"INORGANIC CHEMISTRY","","","",75,"2016-05-17","Journal article"
6,"Jozef Miklovic, Dusan Valigura, Roman Boca, Jan Titis","A mononuclear Ni(II) complex: a field induced single-molecule magnet showing two slow relaxation processes",2015,"DALTON TRANSACTIONS","","","",76,"2016-05-17","Journal article"
6,"Z. Puterova-Tokarova, V. Mrazova, J. Kozisek, J. Valentova, B. Vranovicova, R. Boca","Magnetostructural correlation in tetracopper(II) cubanes",2014,"POLYHEDRON","","","",77,"2016-05-17","Journal article"
6,"Jerzy Romiszewski, Zita Puterova-Tokarova, Jozef Mieczkowski, Ewa Gorecka","Optical properties of thiophene-containing liquid crystalline and hybrid liquid crystalline materials",2014,"NEW JOURNAL OF CHEMISTRY","","","",78,"2016-05-17","Journal article"
6,"Sevi Oz, Jan Titis, Hasan Nazir, Orhan Atakol, Roman Boca, Ingrid Svoboda, Hartmut Fuess","Synthesis, structure and magnetic properties of Ni(II)-Co(II) heterodinuclear complexes with ONNO type Schiff bases as ligands",2013,"POLYHEDRON","","","",79,"2016-05-17","Journal article"
6,"Miroslav Hornik, Martin Pipiska, Martina Kociova, Jozef Augustin, Juraj Lesny","INFLUENCE OF CHELATING AGENTS ON Co-60 UPTAKE BY FRESH WATER ALGAE",2008,"CEREAL RESEARCH COMMUNICATIONS","","","",80,"2016-05-17","Journal article"
6,"M Pipiska, J Lesny, M Hornik, J Augustin","Plant uptake of radiocesium from contaminated soil",2004,"NUKLEONIKA","","","",81,"2016-05-17","Journal article"
6,"E Jona, M Kubranova, SC Mojumdar, M Kopcova","Interactions of Co-exchanged montmorillonite with pyridine, 4-methyl- and 4-ethylpyridine",2002,"CHEMICAL PAPERS-CHEMICKE ZVESTI","","","",82,"2016-05-17","Journal article"
5,"Susanta Hazra, Anirban Karmakar, Maria de Fatima C. Guedes da Silva, L'ubor Dlhan, Roman Boca, Armando J. L. Pombeiro","Sulfonated Schiff base dinuclear and polymeric copper(II) complexes: crystal structures, magnetic properties and catalytic application in Henry reaction",2015,"NEW JOURNAL OF CHEMISTRY","","","",83,"2016-05-17","Journal article"
5,"Petra Masarova, Pavel Zoufaly, Jan Moncol, Ivan Nemec, Jan Pavlik, Milan Gembicky, Zdenek Travnicek, Roman Boca, Ivan Salitros","Spin crossover and high spin electroneutral mononuclear iron(III) Schiff base complexes involving terminal pseudohalido ligands",2015,"NEW JOURNAL OF CHEMISTRY","","","",84,"2016-05-17","Journal article"
5,"Ivan Salitros, Luks Pogany, Mario Ruben, Roman Boca, Wolfgang Linert","Polymorphism dependent light induced spin transition",2014,"DALTON TRANSACTIONS","","","",85,"2016-05-17","Journal article"
5,"M. Idesicova, R. Boca","Magnetism, IR and Raman spectra of a tetracoordinate and hexacoordinate Co(II) complexes derived from aminopyrimidine",2013,"INORGANICA CHIMICA ACTA","","","",86,"2016-05-17","Journal article"
5,"Vladimir Fristak, Martin Pipiska, Miroslav Hornik, Jozef Augustin, Juraj Lesny","Sludge of wastewater treatment plants as Co2+ ions sorbent",2013,"CHEMICAL PAPERS","","","",87,"2016-05-17","Journal article"
5,"Anita Abedi, Vahid Amani, Roman Boca, Lubor Dlhan, Hamid Reza Khavasi, Nasser Safari","Bis(isothiocyanato)iron(II) complexes with bithiazole ligands: Structure and magnetic studies",2013,"INORGANICA CHIMICA ACTA","","","",88,"2016-05-17","Journal article"
5,"Martin Vavra, Ivan Potocnak, Miroslava Marhefkova, Roman Boca, L'ubor Dlhan","Low-dimensional compounds containing cyanido groups. XXII. Crystal structure, spectroscopic, thermal and magnetic properties of four Cu(II) tetracyanidoplatinates with atypical chain-like structures",2012,"POLYHEDRON","","","",89,"2016-05-17","Journal article"
5,"Elena A. Buvaylo, Oksana V. Nesterova, Vladimir N. Kokozay, Olga Yu. Vassilyeva, Brian W. Skelton, Roman Boca, Dmytro S. Nesterov","Discussion of Planarity of Molecular Structures Using Novel Pentanuclear Cu/Ni Complexes as an Example",2012,"CRYSTAL GROWTH & DESIGN","","","",90,"2016-05-17","Journal article"
5,"J. Viskupicova, M. Ondrejovic, E. Sturdik","The potential and practical applications of acylated flavonoids",2009,"PHARMAZIE","","","",91,"2016-05-17","Journal article"
5,"L' Lajdova, E. Jona, S. Snircova, J. Miklovic, P. Segl'a, M. Pajtasova, D. Ondrusova, S. C. Mojumdar","Thermal properties of solid complexes with biologically important heterocyclic ligands",2009,"JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY","","","",92,"2016-05-17","Journal article"
5,"Katarina Szarazova, Agata Fargasova, Edgar Hiller, Zuzana Velicka, Jana Pastierova","Phytotoxic effects and translocation of Cr and Ni in washing wastewaters from a cutlery production line to mustard (Sinapis alba L.) seedlings",2008,"FRESENIUS ENVIRONMENTAL BULLETIN","","","",93,"2016-05-17","Journal article"
5,"M. Budova, K. Fojtikova, J. Miklovic, V. Mrazova, B. Horvath, A. Krutosikova","Synthesis and reactions of 2-and 4-substituted furo[3,2-c]pyridines",2006,"CHEMICAL PAPERS-CHEMICKE ZVESTI","","","",94,"2016-05-17","Journal article"
4,"Ivan Nemec, Radovan Herchel, Ingrid Svoboda, Roman Boca, Zdenek Travnicek","Large and negative magnetic anisotropy in pentacoordinate mononuclear Ni(II) Schiff base complexes",2015,"DALTON TRANSACTIONS","","","",95,"2016-05-17","Journal article"
4,"Z. Puterova-Tokarova, V. Mrazova, R. Boca","Magnetism of novel Schiff-base copper(II) complexes derived from aminoacids",2013,"POLYHEDRON","","","",96,"2016-05-17","Journal article"
4,"Kristina Matelkova, Katrin Ossberger, Juraj Hudak, Jaroslav Vatral, Roman Boca, Wolfgang Linert","Redox activity of some non-innocent amino acids",2013,"MONATSHEFTE FUR CHEMIE","","","",97,"2016-05-17","Journal article"
4,"Miroslav Hornik, Anna Sunovska, Denisa Partelova, Martin Pipiska, Jozef Augustin","Continuous sorption of synthetic dyes on dried biomass of microalga Chlorella pyrenoidosa",2013,"CHEMICAL PAPERS","","","",98,"2016-05-17","Journal article"
3,"Peter Nemecek, Jan Mocak, Jozef Lehotay, Karel Waisser","Prediction of anti-tuberculosis activity of 3-phenyl-2H-1,3-benzoxazine-2,4(3H)-dione derivatives",2013,"CHEMICAL PAPERS","","","",99,"2016-05-17","Journal article"
4,"J. Maresova, L. Remenarova, M. Hornik, M. Pipiska, J. Augustin, J. Lesny","Foliar uptake of zinc by vascular plants: radiometric study",2012,"JOURNAL OF RADIOANALYTICAL AND NUCLEAR CHEMISTRY","","","",100,"2016-05-17","Journal article"
4,"Tibor Maliar, Jarmila Drobna, Jan Kraic, Maria Maliarova, Jana Jurovata","Proteinase inhibition and antioxidant activity of selected forage crops",2011,"BIOLOGIA","","","",101,"2016-05-17","Journal article"
4,"Andrej Godany, Katarina Majzlova, Viera Horvathova, Barbora Vidova, Stefan Janecek","Tyrosine 39 of GH13 alpha-amylase from Thermococcus hydrothermalis contributes to its thermostability",2010,"BIOLOGIA","","","",102,"2016-05-17","Journal article"
3,"A. Jedinak, M. Valachova, T. Maliar, E. Sturdik","Antiprotease activity of selected Slovak medicinal plants",2010,"PHARMAZIE","","","",103,"2016-05-17","Journal article"
3,"Viera Mrazova, Jan Mocak, Elena Varmusova, Denisa Kavkova, Adriana Bednarova","Use of multidimensional data analysis for prediction of lung malignity",2009,"JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS","","","",104,"2016-05-17","Journal article"
3,"Filip Kraic, Jan Mocak, Zeljka Fiket, Goran Kniewald","ICP MS analysis and classification of potable, spring, and mineral waters",2008,"CHEMICAL PAPERS","","","",105,"2016-05-17","Journal article"
4,"Jozef Miklovic, Peter Segl'a, Dusan Miklos, Jan Titis, Radovan Herchel, Milan Melnik","Copper(II) and cobalt(II) hydroxypyridinecarboxylates: Synthesis, crystal structures, spectral and magnetic properties",2008,"CHEMICAL PAPERS","","","",106,"2016-05-17","Journal article"
