Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
12,"T.-Y. Jung, D. Li, J.-T. Park, S.-M. Yoon, P.L. Tran, B.-H. Oh, Š. Janeček, S.G. Park, E.-J. Woo, K.-H. Park","Association of novel domain in active site of archaic hyperthermophilic maltogenic amylase from Staphylothermus marinus",2012,"Journal of Biological Chemistry","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84863239712&partnerID=40&md5=ac9288bcb66fe5f898d130acf90c5bec","",162,"2015-11-17","Article"
0,"B. Vidová, E. Tóthová, L. Blahut, V. Horváthová, A. Godány","Multiplex PCR for detection of Escherichia coli O157:H7 in foods",2011,"Biologia","","http://www.scopus.com/inward/record.url?eid=2-s2.0-79953770465&partnerID=40&md5=3bda468ed046f0d53dd6a1acb5e53a5a","",174,"2015-11-17","Article"
4,"A. Godány, K. Majzlová, V. Horváthová, B. Vidová, Š. Janeček","Tyrosine 39 of GH13 α-amylase from Thermococcus hydrothermalis contributes to its thermostability",2010,"Biologia","","http://www.scopus.com/inward/record.url?eid=2-s2.0-77951753263&partnerID=40&md5=bb825cf22c1b99da76cb77cb481dbf44","",199,"2015-11-17","Article"
9,"M. Gabriško, S. Janeček","Looking for the ancestry of the heavy-chain subunits of heteromeric amino acid transporters rBAT and 4F2hc within the GH13 α-amylase family",2009,"FEBS Journal","","http://www.scopus.com/inward/record.url?eid=2-s2.0-71949101795&partnerID=40&md5=8e4c6fdf6d2c819dfa2aecc77794863b","",214,"2015-11-17","Article"
72,"C. Christiansen, M. Abou Hachem, S. Janeček, A. Viksø-Nielsen, A. Blennow, B. Svensson","The carbohydrate-binding module family 20 - Diversity, structure, and function",2009,"FEBS Journal","","http://www.scopus.com/inward/record.url?eid=2-s2.0-69449083006&partnerID=40&md5=3307df62eaa9d63449e6947f60f10b0b","",218,"2015-11-17","Review"
17,"M. Machovič, Š. Janeček","Domain evolution in the GH13 pullulanase subfamily with focus on the carbohydrate-binding module family 48",2008,"Biologia","","http://www.scopus.com/inward/record.url?eid=2-s2.0-57349180133&partnerID=40&md5=ca75d00920dc39ee2f3ce3cd0c9b3782","",230,"2015-11-17","Article"
1,"T. Janeček","Sequence Fingerprints in the Evolution of the α-Amylase Family",2008,"Carbohydrate-Active Enzymes: Structure, Function and Applications","","http://www.scopus.com/inward/record.url?eid=2-s2.0-77951738053&partnerID=40&md5=166ed24c3a71eed6ee4a7e8a8be871d9","",241,"2015-11-17","Book Chapter"
0,"M. Martin, J. Štefan","Amylolytic enzymes: Types, structures and specificities",2007,"Industrial Enzymes: Structure, Function and Applications","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84892271109&partnerID=40&md5=999b2ad3d00e0cc52c311565342eb541","",258,"2015-11-17","Book Chapter"
18,"V. Horváthová, A. Godány, E. Šturdík, S. Janeček","α-Amylase from Thermococcus hydrothermalis: Re-cloning aimed at the improved expression and hydrolysis of corn starch",2006,"Enzyme and Microbial Technology","","http://www.scopus.com/inward/record.url?eid=2-s2.0-33747366715&partnerID=40&md5=bae55fdb30decded0e252a1e3266d036","",286,"2015-11-17","Article"
21,"Š. Janeček","Amylolytic families of glycoside hydrolases: Focus on the family GH-57",2005,"Biologia - Section Cellular and Molecular Biology","","http://www.scopus.com/inward/record.url?eid=2-s2.0-33748670795&partnerID=40&md5=79c5698bc17f38692a6698b4c5898371","",302,"2015-11-17","Conference Paper"
15,"M. Machovič, Š. Janeček","The invariant residues in the α-amylase family: Just the catalytic triad",2003,"Biologia - Section Cellular and Molecular Biology","","http://www.scopus.com/inward/record.url?eid=2-s2.0-0346306302&partnerID=40&md5=c0401b1b54d0668be6be40d018a6af08","",322,"2015-11-17","Article"
23,"V. Horváthová, Š. Janeček, E. Šturdík","Amylolytic enzymes: Molecular aspects of their properties",2001,"General Physiology and Biophysics","","http://www.scopus.com/inward/record.url?eid=2-s2.0-0035288916&partnerID=40&md5=4cee7d6fc92ea92c1be0a5080cba0913","",333,"2015-11-17","Review"
16,"V. Horváthovái, S. Janeček, E. Ǒturdík","Amylolytic enzymes: Their specificities, origins and properties",2000,"Biologia","","http://www.scopus.com/inward/record.url?eid=2-s2.0-3342970233&partnerID=40&md5=effb55468876796354d6b324fbce2c44","",335,"2015-11-17","Article"
1,"A. Kopcakova, Z. Stramova, S. Kvasnova, A. Godany, Z. Perhacova, P. Pristas","Need for database extension for reliable identification of bacteria from extreme environments using MALDI TOF mass spectrometry",2014,"Chemical Papers","","http://www.scopus.com/inward/record.url?eid=2-s2.0-84912569270&partnerID=40&md5=683d8a6b629a19e95701c32844182156","",70,"2015-11-17","Article"
